Timestamp,reviewerfirstname,reviewerlastname,movietitle,ratingscore
9/9/2022 10:54:45,Samuel,Kim,Spider-Man: No Way Home,3
9/9/2022 10:58:42,David,Lee,Doctor Strange in the Multiverse of Madness,1
9/9/2022 11:53:29,Ray,Watts,Thor: Love and Thunder,1
9/9/2022 13:41:14,Ben,Brand,Top Gun: Maverick,3
9/9/2022 13:41:46,Sookyung,Han,Spider-Man: No Way Home,4
