Timestamp,reviewerfirstname,reviewerlastname,movietitle,ratingscore
9/9/2022 10:54:45,Samuel,Kim,Spider-Man: No Way Home,3
9/9/2022 10:58:42,David,Lee,Doctor Strange in the Multiverse of Madness,1
9/9/2022 11:53:29,Ray,Watts,Doctor Strange in the Multiverse of Madness,1
